id,prompt_example,prompt_qual,task_description,complexity,bad_prompt,good_prompt,expected_answer,prompting_techniques,prompt_type,notes,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,linsear_write_formula,dale_chall_score,spache_readability
11,Give me advice on relationships.,bad,Organize these relationship advice elements into groups,medium,,"I need help organizing common relationship advice into categories. Here are a few examples to guide you:

Example 1:
Advice: Communicate openly and honestly.
Category: Communication

Example 2:
Advice: Schedule regular date nights.
Category: Quality Time

Example 3:
Advice: Learn to forgive each other.
Category: Conflict Resolution

Now, please categorize the following relationship advice elements:

1.  Actively listen to your partner.
2.  Show appreciation for your partner.
3.  Establish healthy boundaries.
4.  Resolve conflicts constructively.
5.  Spend quality time together.
6.  Express your needs and desires clearly.
7.  Support each other's goals.
8.  Learn each other's love languages.
9.  Practice empathy.
10. Respect each other's individuality.","The LLM should categorize the provided relationship advice elements into relevant categories such as Communication, Appreciation, Boundaries, Conflict Resolution, Quality Time, Support, and Respect. The output should clearly associate each advice element with its corresponding category.","['ONE_SHOT_FEW_SHOT', 'CONTEXTUAL_PROMPTING']",CLASSIFICATION_TAGGING,,49.48,7.6,10.0,0.0,7.4,9.6,2.5,10.2,4.98
12,"I need help organizing common relationship advice into categories. Here are a few examples to guide you:

Example 1:
Advice: Communicate openly and honestly.
Category: Communication

Example 2:
Advice: Schedule regular date nights.
Category: Quality Time

Example 3:
Advice: Learn to forgive each other.
Category: Conflict Resolution

Now, please categorize the following relationship advice elements:

1.  Actively listen to your partner.
2.  Show appreciation for your partner.
3.  Establish healthy boundaries.
4.  Resolve conflicts constructively.
5.  Spend quality time together.
6.  Express your needs and desires clearly.
7.  Support each other's goals.
8.  Learn each other's love languages.
9.  Practice empathy.
10. Respect each other's individuality.",good,Organize these relationship advice elements into groups,medium,Give me advice on relationships.,,"The LLM should categorize the provided relationship advice elements into relevant categories such as Communication, Appreciation, Boundaries, Conflict Resolution, Quality Time, Support, and Respect. The output should clearly associate each advice element with its corresponding category.","['ONE_SHOT_FEW_SHOT', 'CONTEXTUAL_PROMPTING']",CLASSIFICATION_TAGGING,,29.92,11.0,12.1,11.8,10.9,13.35,5.153846153846154,11.31,4.83
13,Write a story about alternative medicine.,bad,Craft an imaginative piece centered on alternative medicine,medium,,"Imagine a world where conventional medicine has failed. A young woman named Elara, suffering from a mysterious illness, seeks help from a reclusive herbalist living deep within the Amazon rainforest. Using the TREE_OF_THOUGHTS technique, explore the following branches: Branch 1: Describe Elara's illness and her desperation. Branch 2: Detail the herbalist's unique methods and philosophy of healing. Branch 3: Narrate the challenges Elara faces during her treatment, including skepticism from her family and potential side effects. Branch 4: Depict the climax of Elara's treatment and the ultimate outcome, whether successful or not, and the lessons learned. Ensure the story incorporates elements of suspense, cultural sensitivity, and a nuanced perspective on the efficacy and limitations of alternative medicine.","The story should follow the structure outlined in the prompt, detailing Elara's illness, the herbalist's methods, the challenges faced, and the final outcome. It should explore the themes of hope, skepticism, and the complexities of alternative medicine. The story should be well-written, engaging, and thought-provoking, leaving the reader to consider the potential benefits and risks of unconventional treatments. The ending should not be overly simplistic, acknowledging the limitations and uncertainties inherent in alternative healing practices.",['TREE_OF_THOUGHTS'],CREATIVE_WRITING,,14.63,12.7,9.07,0.0,9.8,12.98,4.0,6.57,3.12
14,"Imagine a world where conventional medicine has failed. A young woman named Elara, suffering from a mysterious illness, seeks help from a reclusive herbalist living deep within the Amazon rainforest. Using the TREE_OF_THOUGHTS technique, explore the following branches: Branch 1: Describe Elara's illness and her desperation. Branch 2: Detail the herbalist's unique methods and philosophy of healing. Branch 3: Narrate the challenges Elara faces during her treatment, including skepticism from her family and potential side effects. Branch 4: Depict the climax of Elara's treatment and the ultimate outcome, whether successful or not, and the lessons learned. Ensure the story incorporates elements of suspense, cultural sensitivity, and a nuanced perspective on the efficacy and limitations of alternative medicine.",good,Craft an imaginative piece centered on alternative medicine,medium,Write a story about alternative medicine.,,"The story should follow the structure outlined in the prompt, detailing Elara's illness, the herbalist's methods, the challenges faced, and the final outcome. It should explore the themes of hope, skepticism, and the complexities of alternative medicine. The story should be well-written, engaging, and thought-provoking, leaving the reader to consider the potential benefits and risks of unconventional treatments. The ending should not be overly simplistic, acknowledging the limitations and uncertainties inherent in alternative healing practices.",['TREE_OF_THOUGHTS'],CREATIVE_WRITING,,37.6,12.2,15.23,14.8,15.1,16.01,10.142857142857142,12.16,6.65
15,Analyze the film 'Parasite'. What are its main themes?,bad,Develop an algorithm to solve film analysis,medium,,"You are a film critic. Write a Python script that analyzes the screenplay of the film 'Parasite' to identify and quantify the frequency of keywords associated with potential themes such as class conflict, social inequality, ambition, and deception. The script should then output a JSON object containing the identified themes and their relative importance based on keyword frequency. Provide the Python script and the resulting JSON object.","The ideal output would include a Python script that parses the 'Parasite' screenplay (or a sample screenplay text if the full screenplay is unavailable), counts keywords related to the specified themes, and generates a JSON object. The JSON object should list the themes (class conflict, social inequality, ambition, deception) and a numerical score representing their relative importance based on keyword frequency. The script should be functional and the JSON object should be well-formatted.",['CODE_PROMPTING'],PROGRAMMING_CODE_GENERATION,,83.83,2.7,10.69,0.0,4.9,4.77,2.25,10.88,3.38
16,"You are a film critic. Write a Python script that analyzes the screenplay of the film 'Parasite' to identify and quantify the frequency of keywords associated with potential themes such as class conflict, social inequality, ambition, and deception. The script should then output a JSON object containing the identified themes and their relative importance based on keyword frequency. Provide the Python script and the resulting JSON object.",good,Develop an algorithm to solve film analysis,medium,Analyze the film 'Parasite'. What are its main themes?,,"The ideal output would include a Python script that parses the 'Parasite' screenplay (or a sample screenplay text if the full screenplay is unavailable), counts keywords related to the specified themes, and generates a JSON object. The JSON object should list the themes (class conflict, social inequality, ambition, deception) and a numerical score representing their relative importance based on keyword frequency. The script should be functional and the JSON object should be well-formatted.",['CODE_PROMPTING'],PROGRAMMING_CODE_GENERATION,,37.5,12.2,15.68,14.6,13.2,14.03,12.375,11.3,6.41
17,How do I make a website?,bad,Provide solutions to questions regarding web development,medium,,"I want to build a personal portfolio website to showcase my work as a freelance graphic designer. I need a simple, responsive design that looks good on both desktop and mobile devices. The website should have the following sections: a homepage with a brief introduction and a hero image, an 'About Me' page with a more detailed bio and skills section, a 'Portfolio' page to display my projects with images and descriptions, and a 'Contact' page with a contact form. Please provide a step-by-step guide, including specific technologies to use (e.g., HTML, CSS, JavaScript, frameworks), example code snippets for each section, and recommendations for hosting the website. Explain your reasoning for choosing these technologies. Break down the process into smaller, manageable steps. Think step by step.","The ideal answer would be a comprehensive guide that covers the entire process of building a portfolio website. It should start by recommending specific technologies like HTML for structure, CSS (possibly with a framework like Bootstrap or Tailwind CSS) for styling, and JavaScript for interactivity. The response should then provide detailed, step-by-step instructions for creating each section of the website (homepage, about me, portfolio, contact), including example code snippets for each. The answer should also explain how to make the website responsive using CSS media queries or a responsive framework. Finally, it should offer recommendations for hosting the website, such as Netlify or GitHub Pages, and explain how to deploy the website to the chosen hosting platform. The reasoning behind technology choices should be clearly articulated, considering factors like ease of use, performance, and maintainability.",['CHAIN_OF_THOUGHT'],QUESTION_ANSWERING,,99.23,0.9,2.4,0.0,-3.6,-3.44,2.0,6.57,3.12
18,"I want to build a personal portfolio website to showcase my work as a freelance graphic designer. I need a simple, responsive design that looks good on both desktop and mobile devices. The website should have the following sections: a homepage with a brief introduction and a hero image, an 'About Me' page with a more detailed bio and skills section, a 'Portfolio' page to display my projects with images and descriptions, and a 'Contact' page with a contact form. Please provide a step-by-step guide, including specific technologies to use (e.g., HTML, CSS, JavaScript, frameworks), example code snippets for each section, and recommendations for hosting the website. Explain your reasoning for choosing these technologies. Break down the process into smaller, manageable steps. Think step by step.",good,Provide solutions to questions regarding web development,medium,How do I make a website?,,"The ideal answer would be a comprehensive guide that covers the entire process of building a portfolio website. It should start by recommending specific technologies like HTML for structure, CSS (possibly with a framework like Bootstrap or Tailwind CSS) for styling, and JavaScript for interactivity. The response should then provide detailed, step-by-step instructions for creating each section of the website (homepage, about me, portfolio, contact), including example code snippets for each. The answer should also explain how to make the website responsive using CSS media queries or a responsive framework. Finally, it should offer recommendations for hosting the website, such as Netlify or GitHub Pages, and explain how to deploy the website to the chosen hosting platform. The reasoning behind technology choices should be clearly articulated, considering factors like ease of use, performance, and maintainability.",['CHAIN_OF_THOUGHT'],QUESTION_ANSWERING,,46.98,10.6,12.03,12.2,11.7,12.0,13.2,10.94,5.99
19,Explain loop quantum gravity.,bad,Code a solution for loop quantum gravity,high,,"I am researching loop quantum gravity (LQG). Explain the core concepts of LQG, including spin networks, spin foam, and quantization of space. Provide a step-by-step explanation of how LQG attempts to quantize spacetime and address the problem of singularities in general relativity. Include a discussion of the challenges and open questions in LQG research. As an example, consider the application of LQG to black hole entropy calculations and compare it to string theory's approach. Use CHAIN_OF_THOUGHT to explain each concept.","A detailed explanation of loop quantum gravity, covering its foundational principles like spin networks and spin foam, the quantization of space, and its approach to resolving singularities. The response should include a step-by-step breakdown of the quantization process and a discussion of current challenges and open research questions. The black hole entropy calculation example should illustrate the practical application and comparison with string theory.",['CHAIN_OF_THOUGHT'],PROGRAMMING_CODE_GENERATION,,33.58,9.6,11.6,0.0,11.2,13.05,2.0,11.73,5.7
20,"I am researching loop quantum gravity (LQG). Explain the core concepts of LQG, including spin networks, spin foam, and quantization of space. Provide a step-by-step explanation of how LQG attempts to quantize spacetime and address the problem of singularities in general relativity. Include a discussion of the challenges and open questions in LQG research. As an example, consider the application of LQG to black hole entropy calculations and compare it to string theory's approach. Use CHAIN_OF_THOUGHT to explain each concept.",good,Code a solution for loop quantum gravity,high,Explain loop quantum gravity.,,"A detailed explanation of loop quantum gravity, covering its foundational principles like spin networks and spin foam, the quantization of space, and its approach to resolving singularities. The response should include a step-by-step breakdown of the quantization process and a discussion of current challenges and open research questions. The black hole entropy calculation example should illustrate the practical application and comparison with string theory.",['CHAIN_OF_THOUGHT'],PROGRAMMING_CODE_GENERATION,,49.52,9.7,12.82,12.5,11.8,13.38,8.333333333333334,10.41,5.73
21,Explain genetic inheritance.,bad,Modify the tone of this genetic inheritance content to be more engaging,medium,,"Imagine you're a friendly science teacher explaining genetic inheritance to high school students. Use analogies and real-world examples to make the concepts of dominant and recessive genes, genotypes, and phenotypes easy to understand. Focus on making it engaging and memorable. Include examples like eye color or genetic diseases.","The response should be an explanation of genetic inheritance that is easy to understand, uses analogies, and includes real-world examples. It should cover dominant and recessive genes, genotypes, and phenotypes in a way that is engaging and memorable for high school students. Examples like eye color and genetic diseases should be included to illustrate the concepts.","['ROLE_PROMPTING', 'CONTEXTUAL_PROMPTING']",STYLE_TONE_CHANGE,,-50.02,21.0,27.87,0.0,20.9,22.75,2.5,14.31,7.0
22,"Imagine you're a friendly science teacher explaining genetic inheritance to high school students. Use analogies and real-world examples to make the concepts of dominant and recessive genes, genotypes, and phenotypes easy to understand. Focus on making it engaging and memorable. Include examples like eye color or genetic diseases.",good,Modify the tone of this genetic inheritance content to be more engaging,medium,Explain genetic inheritance.,,"The response should be an explanation of genetic inheritance that is easy to understand, uses analogies, and includes real-world examples. It should cover dominant and recessive genes, genotypes, and phenotypes in a way that is engaging and memorable for high school students. Examples like eye color and genetic diseases should be included to illustrate the concepts.","['ROLE_PROMPTING', 'CONTEXTUAL_PROMPTING']",STYLE_TONE_CHANGE,,25.46,12.7,15.63,14.9,12.5,15.18,10.25,10.48,5.76
23,Tell me about soil science.,bad,Describe how soil science works,medium,,"You are an expert in soil science. Explain the interdisciplinary nature of soil science, including its key disciplines like soil physics, soil chemistry, soil biology, and soil mineralogy. Also, describe how soil science contributes to agriculture, environmental science, and civil engineering. Provide examples of how soil scientists address real-world problems such as soil erosion, contamination, and fertility management. Structure your answer in a clear and concise manner.","An ideal answer would comprehensively explain soil science as an interdisciplinary field, detailing the core disciplines (physics, chemistry, biology, mineralogy) and their specific contributions to understanding soil properties and processes. It would then elaborate on the applications of soil science in agriculture (e.g., optimizing crop production through nutrient management), environmental science (e.g., remediating contaminated soils), and civil engineering (e.g., assessing soil stability for construction). The response should also include specific examples of how soil scientists tackle practical problems like erosion control, pollution remediation, and fertility enhancement, demonstrating the field's relevance and impact.","['SYSTEM_PROMPTING', 'CONTEXTUAL_PROMPTING']",INFORMATIONAL,,83.32,2.9,2.0,0.0,2.7,3.8,1.5,7.04,3.26
24,"You are an expert in soil science. Explain the interdisciplinary nature of soil science, including its key disciplines like soil physics, soil chemistry, soil biology, and soil mineralogy. Also, describe how soil science contributes to agriculture, environmental science, and civil engineering. Provide examples of how soil scientists address real-world problems such as soil erosion, contamination, and fertility management. Structure your answer in a clear and concise manner.",good,Describe how soil science works,medium,Tell me about soil science.,,"An ideal answer would comprehensively explain soil science as an interdisciplinary field, detailing the core disciplines (physics, chemistry, biology, mineralogy) and their specific contributions to understanding soil properties and processes. It would then elaborate on the applications of soil science in agriculture (e.g., optimizing crop production through nutrient management), environmental science (e.g., remediating contaminated soils), and civil engineering (e.g., assessing soil stability for construction). The response should also include specific examples of how soil scientists tackle practical problems like erosion control, pollution remediation, and fertility enhancement, demonstrating the field's relevance and impact.","['SYSTEM_PROMPTING', 'CONTEXTUAL_PROMPTING']",INFORMATIONAL,,24.03,13.2,14.91,13.7,14.2,16.52,10.1,10.43,6.07
25,What is the philosophy of science?,bad,Discuss the nuances of philosophy of science,high,,"Explain the philosophy of science, focusing on the problem of induction, the demarcation problem, and scientific realism vs. anti-realism. Use the chain of thought method to break down each concept, providing historical context and examples. Conclude by discussing the implications of these philosophical debates for scientific practice and public understanding of science.","The response should provide a detailed explanation of the philosophy of science, covering the problem of induction (Hume's argument, responses like Popper's falsificationism), the demarcation problem (criteria for distinguishing science from pseudoscience), and the debate between scientific realism (science aims to provide true descriptions of the world) and anti-realism (science is useful but doesn't necessarily reflect reality). The answer should include historical context (e.g., logical positivism, Kuhn's paradigm shifts), examples (e.g., Newtonian physics, evolutionary biology), and a discussion of the practical implications for scientists and the public (e.g., how philosophical assumptions influence research, how to critically evaluate scientific claims). The chain of thought should be evident in the structured explanation of each concept.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",CONVERSATIONAL,,56.93,6.8,9.07,0.0,4.3,6.25,3.0,9.2,4.55
26,"Explain the philosophy of science, focusing on the problem of induction, the demarcation problem, and scientific realism vs. anti-realism. Use the chain of thought method to break down each concept, providing historical context and examples. Conclude by discussing the implications of these philosophical debates for scientific practice and public understanding of science.",good,Discuss the nuances of philosophy of science,high,What is the philosophy of science?,,"The response should provide a detailed explanation of the philosophy of science, covering the problem of induction (Hume's argument, responses like Popper's falsificationism), the demarcation problem (criteria for distinguishing science from pseudoscience), and the debate between scientific realism (science aims to provide true descriptions of the world) and anti-realism (science is useful but doesn't necessarily reflect reality). The answer should include historical context (e.g., logical positivism, Kuhn's paradigm shifts), examples (e.g., Newtonian physics, evolutionary biology), and a discussion of the practical implications for scientists and the public (e.g., how philosophical assumptions influence research, how to critically evaluate scientific claims). The chain of thought should be evident in the structured explanation of each concept.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",CONVERSATIONAL,,20.08,14.8,16.92,15.9,16.4,17.34,13.666666666666666,11.48,7.09
